"id","vendor_category_en","vendor_category_id","delivery_charge","serving_distance","OpeningTime","OpeningTime2","prepration_time","discount_percentage","vendor_rating","vendor_tag","vendor_tag_name","revenue"
196,"Sweets & Bakes",3,0.7,10,"06:00PM-11:59PM","00:01AM-02:30AM",17,0,4.4,"","",4034.3
197,"Restaurants",2,0,15,"11:59AM-10:45PM ","-",17,0,4.4,"91,42,24","Free Delivery,Mexican,Salads",11337.5
199,"Sweets & Bakes",3,0,15,"08:30AM-11:45PM","-",15,0,4.5,"41,51,8,57,38,43,32,52,62,25","Cakes,Crepes,Desserts,Donuts,Fresh Juices,Ice creams,Milkshakes,Mojitos ,Pancakes,Waffles",6960.3
201,"Restaurants",2,0.7,15,"11:00AM-3:50pm","6:10pm-12:00am",12,0,4,"31,8,10,28","Biryani,Desserts,Indian,Soups",14666.9
203,"Restaurants",2,0.7,15,"11:00AM-11:01PM","-",16,0,4,"1,16,29,30","American,Sandwiches,Hot Dogs,Fries",7655.7
207,"Restaurants",2,0.7,15,"11:00AM-04:00PM","06:00PM-11:45PM",15,0,4.1,"2,31,7,22,10,33,24,28,19","Arabic,Biryani,Chinese,Grills,Indian,Rice,Salads,Soups,Thai",8670.1
216,"Restaurants",2,0.7,6,"09:00AM-08:00pm ","-",15,0,4.7,"60,73","Coffee,Organic",11121.5
221,"Sweets & Bakes",3,0.7,15,"09:00AM-11:00PM","-",10,0,4.2,"38,9,36","Fresh Juices,Healthy Food,Smoothies",11613
225,"Restaurants",2,0,15,"06:15AM-11:45PM","-",10,0,4.2,"4,91,38,30,79,52,45","Breakfast,Free Delivery,Fresh Juices,Fries,Karak,Mojitos ,Rolls",12432.1
231,"Sweets & Bakes",3,0.7,10,"9am-10pm","10pm-11pm",15,0,4.3,"","",6857.9
237,"Restaurants",2,0.7,15,"08:30PM-11:59PM","00:01AM-02:30AM",15,0,4.6,"1,5,8,57,30,27,24,16","American,Burgers,Desserts,Donuts,Fries,Pasta,Salads,Sandwiches",14856.5
243,"Restaurants",2,0.7,15,"01.00PM-02:.00AM","01.00PM-02.00AM",11,0,4.4,"","",12071.2
250,"Restaurants",2,0.7,5,"09:00AM-11:45PM","-",15,0,4.5,"1,4,45,24,16","American,Breakfast,Rolls,Salads,Sandwiches",5811.4
259,"Restaurants",2,0,15,"05:00PM-11:59PM ","-",15,0,4.3,"1,5,48,27,16,36,28,35","American,Burgers,Kids meal,Pasta,Sandwiches,Smoothies,Soups,Steaks",18383.6
265,"Sweets & Bakes",3,0,10,"08:00AM-11:45PM","-",15,0,4.3,"8,91,38,9,43,32,52","Desserts,Free Delivery,Fresh Juices,Healthy Food,Ice creams,Milkshakes,Mojitos ",17757
271,"Restaurants",2,0.7,5,"05:00PM-11:45PM","-",11,0,4.5,"1,5,48,27,16,36,28,35","American,Burgers,Kids meal,Pasta,Sandwiches,Smoothies,Soups,Steaks",15888.7
274,"Sweets & Bakes",3,0.7,15,"11AM-11PM","-",45,0,3.7,"41,57","Cakes,Donuts",17126.9
288,"Restaurants",2,0,6,"11:15AM-03:00PM","05:15PM-09:30PM ",15,0,4.6,"3,8,33,24,28,19","Asian,Desserts,Rice,Salads,Soups,Thai",22790.8
289,"Restaurants",2,0.7,15,"11:30AM-11.59 PM","-",15,0,4.5,"1,5,30,52","American,Burgers,Fries,Mojitos ",10219.8
294,"Restaurants",2,0,10,"09:00AM-11:45PM","-",15,0,4.4,"5,8,91,22,42","Burgers,Desserts,Free Delivery,Grills,Mexican",8450.5
295,"Restaurants",2,0.7,5,"08:00AM-11:45PM","-",15,0,4.7,"60,38,61,16,36","Coffee,Fresh Juices,Hot Chocolate,Sandwiches,Smoothies",5964.2
298,"Restaurants",2,0,8,"10:00AM-11:00PM","-",17,0,4.7,"91,38,90,24,16","Free Delivery,Fresh Juices,Pastas,Salads,Sandwiches",14007.5
299,"Restaurants",2,0.7,15,"10:00AM-1:45PM","-",15,0,4.2,"83,30,52,27,16","Combos,Fries,Mojitos ,Pasta,Sandwiches",11951.4
300,"Restaurants",2,0.7,15,"08:00AM-11:00PM","-",15,0,4.4,"60,38,61,16,36","Coffee,Fresh Juices,Hot Chocolate,Sandwiches,Smoothies",9820.1
303,"Restaurants",2,0.7,15,"08:00AM-3:30PM","-",15,0,4.7,"60,38,61,16,36","Coffee,Fresh Juices,Hot Chocolate,Sandwiches,Smoothies",13057.6
304,"Restaurants",2,0.7,10,"10:00AM-11:15PM","-",15,0,4,"1,4,5,30,16","American,Breakfast,Burgers,Fries,Sandwiches",6215.2
310,"Restaurants",2,0.7,15,"09:00AM-07:00PM","-",13,0,4.8,"26,8,24","Bagels,Desserts,Salads",16178.8
356,"Restaurants",2,0,15,"11:00AM-111:00PM","-",15,0,4.2,"1,48,27,15,24","American,Kids meal,Pasta,Pizzas,Salads",27332
386,"Sweets & Bakes",3,0,15,"08:30AM-11:45PM","-",15,0,4.5,"80","Churros",39698.4
391,"Restaurants",2,0.7,5,"9:00AM-11:00PM","-",10,0,4.2,"1,4,5,8,34,24,16,28,35","American,Breakfast,Burgers,Desserts,Italian,Salads,Sandwiches,Soups,Steaks",9799.5
398,"Restaurants",2,0.7,15,"11:00AM-11:00PM","-",15,0,4.2,"13,2,77,27,33,28,12","Omani,Arabic,Shuwa,Pasta,Rice,Soups,Lebanese",9308.5
401,"Sweets & Bakes",3,0.7,15,"10:00AM-11:15PM","-",13,0,4.5,"64,36","Frozen yoghurt,Smoothies",9863.7
419,"Restaurants",2,0.7,15,"11:00AM-12:00PM","-",15,0,4.2,"2,71,16","Arabic,Kushari,Sandwiches",7027.5
459,"Restaurants",2,0,10,"11:59AM-11:59PM","-",15,0,4.2,"5,91,32,52","Burgers,Free Delivery,Milkshakes,Mojitos ",13841.1
537,"Restaurants",2,0,15,"08:00AM-11:45-","-",20,0,4.4,"1,5,8,91,30,29,48","American,Burgers,Desserts,Free Delivery,Fries,Hot Dogs,Kids meal",17979.8
547,"Restaurants",2,0.7,10,"09:00AM-11:59PM","-",10,0,4.4,"38,12,16,23","Fresh Juices,Lebanese,Sandwiches,Shawarma",19083
573,"Restaurants",2,0,15,"04:59PM-11:45PM","-",10,0,4.6,"5,8,91,27,16","Burgers,Desserts,Free Delivery,Pasta,Sandwiches",18405.3
575,"Sweets & Bakes",3,0,15,"10:00AM-11:45PM","-",15,0,4.1,"60,62,86,25","Coffee,Pancakes,Spanish Latte,Waffles",4773.8
577,"Restaurants",2,0.7,8,"11:00AM-11:00PM","-",5,0,4.5,"5,8,49,24","Burgers,Desserts,Family Meal,Salads",19444.5
578,"Restaurants",2,0.7,15,"12:00PM-11:59PM","-",10,0,4.3,"38,16,23","Fresh Juices,Sandwiches,Shawarma",22469.4
582,"Restaurants",2,0.7,15,"12:00PM-11:59PM","-",10,0,4.2,"38,16,23","Fresh Juices,Sandwiches,Shawarma",8887.9
583,"Restaurants",2,0.7,15,"00:01AM-01:00AM","09:00AM-11:59PM",10,0,4.3,"38,16,23","Fresh Juices,Sandwiches,Shawarma",19471.8
676,"Restaurants",2,0.7,14,"9-22","-",10,0,4.4,"31,8,10,44,33","Biryani,Desserts,Indian,Kebabs,Rice",11752.9
679,"Restaurants",2,0.7,15,"08:00AM-11:00PM","-",10,0,4.5,"31,8,10,44,33","Biryani,Desserts,Indian,Kebabs,Rice",19542.5
681,"Restaurants",2,0.7,15,"9-22","-",10,0,4.4,"31,8,10,44,33","Biryani,Desserts,Indian,Kebabs,Rice",18326
841,"Restaurants",2,0,6,"","",10,0,4,"1,4,5,6,8,91,30,43,48,24","American,Breakfast,Burgers,Cafe,Desserts,Free Delivery,Fries,Ice creams,Kids meal,Salads",7960.7
843,"Restaurants",2,0,5,"","",10,0,4.3,"1,4,5,6,8,91,30,43,48,24","American,Breakfast,Burgers,Cafe,Desserts,Free Delivery,Fries,Ice creams,Kids meal,Salads",7699.4
845,"Restaurants",2,0,5,"","",10,0,4,"1,4,5,6,8,91,30,43,48,24","American,Breakfast,Burgers,Cafe,Desserts,Free Delivery,Fries,Ice creams,Kids meal,Salads",8091.2
846,"Restaurants",2,0,6,"","",10,0,4.1,"1,4,5,6,8,91,30,43,48,24","American,Breakfast,Burgers,Cafe,Desserts,Free Delivery,Fries,Ice creams,Kids meal,Salads",30506.9
849,"Restaurants",2,0,10,"","",10,0,4.1,"1,4,5,6,8,91,30,43,48,24","American,Breakfast,Burgers,Cafe,Desserts,Free Delivery,Fries,Ice creams,Kids meal,Salads",12252.4
855,"Restaurants",2,0,8,"","",10,0,4.2,"1,5,8,91,30,48,24","American,Burgers,Desserts,Free Delivery,Fries,Kids meal,Salads",10021
856,"Restaurants",2,0,7,"","",10,0,4.3,"1,4,5,6,8,91,30,43,48,24","American,Breakfast,Burgers,Cafe,Desserts,Free Delivery,Fries,Ice creams,Kids meal,Salads",12893.2
858,"Restaurants",2,0,3,"","",10,0,4.2,"1,4,5,6,8,91,30,43,48,24","American,Breakfast,Burgers,Cafe,Desserts,Free Delivery,Fries,Ice creams,Kids meal,Salads",9705.5
907,"Restaurants",2,0.7,12,"","",20,0,4.3,"46,52,16","Fatayers,Mojitos ,Sandwiches",3638
